Id,VN30F1M,len,datetime,open,high,low,close,volume,openinterest,AmRSIHighLow,len,datetime,datetime,Value,len,value,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
1,VN30F1M,1,2020-01-02 02:00:00,877.6,877.7,877.1,877.6,1896.0,,AmRSIHighLow,1,,737426.0833333334,Value,1,1000000000.0,Broker,1,1000000000.0,1000000000.0,Trades - Net Profit/Loss,1,,,DrawDown,1,0.0,0.0,BuySell,1,,
2,VN30F1M,2,2020-01-02 02:15:00,877.6,878.5,876.6,878.5,3470.0,,AmRSIHighLow,2,,737426.09375,Value,2,1000000000.0,Broker,2,1000000000.0,1000000000.0,Trades - Net Profit/Loss,2,,,DrawDown,2,0.0,0.0,BuySell,2,,
3,VN30F1M,3,2020-01-02 02:30:00,878.5,879.0,877.9,878.8,3523.0,,AmRSIHighLow,3,,737426.1041666666,Value,3,1000000000.0,Broker,3,1000000000.0,1000000000.0,Trades - Net Profit/Loss,3,,,DrawDown,3,0.0,0.0,BuySell,3,,
4,VN30F1M,4,2020-01-02 02:45:00,878.9,879.5,878.5,878.6,4098.0,,AmRSIHighLow,4,,737426.1145833334,Value,4,1000000000.0,Broker,4,1000000000.0,1000000000.0,Trades - Net Profit/Loss,4,,,DrawDown,4,0.0,0.0,BuySell,4,,
5,VN30F1M,5,2020-01-02 03:00:00,878.7,879.0,877.9,878.0,2870.0,,AmRSIHighLow,5,,737426.125,Value,5,1000000000.0,Broker,5,1000000000.0,1000000000.0,Trades - Net Profit/Loss,5,,,DrawDown,5,0.0,0.0,BuySell,5,,
6,VN30F1M,6,2020-01-02 03:15:00,878.0,878.8,877.9,878.5,2555.0,,AmRSIHighLow,6,,737426.1354166666,Value,6,1000000000.0,Broker,6,1000000000.0,1000000000.0,Trades - Net Profit/Loss,6,,,DrawDown,6,0.0,0.0,BuySell,6,,
7,VN30F1M,7,2020-01-02 03:30:00,878.5,878.9,877.8,878.0,1896.0,,AmRSIHighLow,7,,737426.1458333334,Value,7,1000000000.0,Broker,7,1000000000.0,1000000000.0,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0,BuySell,7,,
8,VN30F1M,8,2020-01-02 03:45:00,878.0,878.5,877.6,878.3,1907.0,,AmRSIHighLow,8,,737426.15625,Value,8,1000000000.0,Broker,8,1000000000.0,1000000000.0,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0,BuySell,8,,
9,VN30F1M,9,2020-01-02 04:00:00,878.3,880.3,878.2,880.0,5275.0,,AmRSIHighLow,9,,737426.1666666666,Value,9,1000000000.0,Broker,9,1000000000.0,1000000000.0,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0,BuySell,9,,
10,VN30F1M,10,2020-01-02 04:15:00,880.3,880.5,879.6,880.0,3985.0,,AmRSIHighLow,10,,737426.1770833334,Value,10,1000000000.0,Broker,10,1000000000.0,1000000000.0,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0,BuySell,10,,
11,VN30F1M,11,2020-01-02 04:30:00,880.2,880.2,880.1,880.1,25.0,,AmRSIHighLow,11,,737426.1875,Value,11,1000000000.0,Broker,11,1000000000.0,1000000000.0,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0,BuySell,11,,
12,VN30F1M,12,2020-01-02 06:00:00,880.3,883.4,880.3,883.0,8490.0,,AmRSIHighLow,12,,737426.25,Value,12,1009152500.0000001,Broker,12,1009152465.0000001,1009152500.0000001,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0,BuySell,12,880.3,
13,VN30F1M,13,2020-01-02 06:15:00,883.0,884.6,882.9,884.0,8157.0,,AmRSIHighLow,13,,737426.2604166666,Value,13,1012652500.0000001,Broker,13,1012652465.0000001,1012652500.0000001,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0,BuySell,13,,
14,VN30F1M,14,2020-01-02 06:30:00,883.8,884.3,883.3,883.5,3562.0,,AmRSIHighLow,14,,737426.2708333334,Value,14,1010902500.0000001,Broker,14,1010902465.0000001,1010902500.0000001,Trades - Net Profit/Loss,14,,,DrawDown,14,0.17281347747623196,0.17281347747623196,BuySell,14,,
15,VN30F1M,15,2020-01-02 06:45:00,883.6,884.9,883.6,884.0,4126.0,,AmRSIHighLow,15,,737426.28125,Value,15,1013755000.0000001,Broker,15,1013754930.0000001,1013755000.0000001,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.17281347747623196,BuySell,15,883.6,
16,VN30F1M,16,2020-01-02 07:00:00,884.1,885.8,884.0,884.7,5167.0,,AmRSIHighLow,16,,737426.2916666666,Value,16,1018655000.0000005,Broker,16,1018654930.0000005,1018655000.0000005,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.17281347747623196,BuySell,16,,
17,VN30F1M,17,2020-01-02 07:15:00,884.7,886.3,884.2,886.3,6517.0,,AmRSIHighLow,17,,737426.3020833334,Value,17,1029854999.9999999,Broker,17,1029854929.9999999,1029854999.9999999,Trades - Net Profit/Loss,17,,,DrawDown,17,0.0,0.17281347747623196,BuySell,17,,
18,VN30F1M,18,2020-01-02 07:30:00,886.3,886.3,886.3,886.3,42.0,,AmRSIHighLow,18,,737426.3125,Value,18,1029854999.9999999,Broker,18,1029854929.9999999,1029854999.9999999,Trades - Net Profit/Loss,18,,,DrawDown,18,0.0,0.17281347747623196,BuySell,18,,
19,VN30F1M,19,2020-01-02 07:45:00,886.3,886.3,886.3,886.3,2599.0,,AmRSIHighLow,19,,737426.3229166666,Value,19,1029854999.9999999,Broker,19,1029854929.9999999,1029854999.9999999,Trades - Net Profit/Loss,19,,,DrawDown,19,0.0,0.17281347747623196,BuySell,19,,
20,VN30F1M,20,2020-01-03 02:00:00,887.0,887.6,886.8,887.4,1633.0,,AmRSIHighLow,20,,737427.0833333334,Value,20,1037338000.0,Broker,20,1037337930.0,1037338000.0,Trades - Net Profit/Loss,20,,,DrawDown,20,0.0,0.17281347747623196,BuySell,20,,
21,VN30F1M,21,2020-01-03 02:15:00,887.4,887.7,886.6,886.6,4821.0,,AmRSIHighLow,21,,737427.09375,Value,21,1031738000.0000004,Broker,21,1031737930.0000004,1031738000.0000004,Trades - Net Profit/Loss,21,,,DrawDown,21,0.5398433297536235,0.5398433297536235,BuySell,21,,
22,VN30F1M,22,2020-01-03 02:30:00,886.6,886.6,886.0,886.3,2919.0,,AmRSIHighLow,22,,737427.1041666666,Value,22,1029637999.9999999,Broker,22,1029637929.9999999,1029637999.9999999,Trades - Net Profit/Loss,22,,,DrawDown,22,0.7422845784112911,0.7422845784112911,BuySell,22,,
23,VN30F1M,23,2020-01-03 02:45:00,886.3,886.7,886.0,886.4,2246.0,,AmRSIHighLow,23,,737427.1145833334,Value,23,1029690500.0,Broker,23,1029690465.0,1029690500.0,Trades - Net Profit/Loss,23,,,DrawDown,23,0.7372235471948391,0.7422845784112911,BuySell,23,,886.3
24,VN30F1M,24,2020-01-03 03:00:00,886.4,886.6,885.9,886.0,2140.0,,AmRSIHighLow,24,,737427.125,Value,24,1028290500.0000001,Broker,24,1028290465.0000001,1028290500.0000001,Trades - Net Profit/Loss,24,,,DrawDown,24,0.8721843796332421,0.8721843796332421,BuySell,24,,
25,VN30F1M,25,2020-01-03 03:15:00,886.1,886.5,885.8,886.3,1942.0,,AmRSIHighLow,25,,737427.1354166666,Value,25,1029340500.0,Broker,25,1029340465.0,1029340500.0,Trades - Net Profit/Loss,25,,,DrawDown,25,0.7709637553044427,0.8721843796332421,BuySell,25,,
26,VN30F1M,26,2020-01-03 03:30:00,886.3,886.3,884.2,884.8,4635.0,,AmRSIHighLow,26,,737427.1458333334,Value,26,1024090500.0,Broker,26,1024090465.0,1024090500.0,Trades - Net Profit/Loss,26,,,DrawDown,26,1.277066876948497,1.277066876948497,BuySell,26,,
27,VN30F1M,27,2020-01-03 03:45:00,884.8,885.0,883.6,884.3,4081.0,,AmRSIHighLow,27,,737427.15625,Value,27,1022340500.0,Broker,27,1022340465.0,1022340500.0,Trades - Net Profit/Loss,27,,,DrawDown,27,1.445767917496515,1.445767917496515,BuySell,27,,
28,VN30F1M,28,2020-01-03 04:00:00,884.3,884.9,884.2,884.8,2397.0,,AmRSIHighLow,28,,737427.1666666666,Value,28,1019995500.0,Broker,28,1019995465.0,1019995500.0,Trades - Net Profit/Loss,28,22042999.999999363,,DrawDown,28,1.6718273118308593,1.6718273118308593,BuySell,28,,884.3
