Id,VN30F1M,len,datetime,open,high,low,close,volume,openinterest,CompareOHLCV,len,datetime,datetime,Value,len,value,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
1,VN30F1M,1,2020-01-02 02:00:00,877.6,878.5,876.6,878.5,5366.0,,CompareOHLCV,1,,737426.0833333334,Value,1,1000000000.0,Broker,1,1000000000.0,1000000000.0,Trades - Net Profit/Loss,1,,,DrawDown,1,0.0,0.0,BuySell,1,,
2,VN30F1M,2,2020-01-02 02:30:00,878.5,879.5,877.9,878.6,7621.0,,CompareOHLCV,2,,737426.1041666666,Value,2,1000000000.0,Broker,2,1000000000.0,1000000000.0,Trades - Net Profit/Loss,2,,,DrawDown,2,0.0,0.0,BuySell,2,,
3,VN30F1M,3,2020-01-02 03:00:00,878.7,879.0,877.9,878.5,5425.0,,CompareOHLCV,3,,737426.125,Value,3,1000000000.0,Broker,3,1000000000.0,1000000000.0,Trades - Net Profit/Loss,3,,,DrawDown,3,0.0,0.0,BuySell,3,,
4,VN30F1M,4,2020-01-02 03:30:00,878.5,878.9,877.6,878.3,3803.0,,CompareOHLCV,4,,737426.1458333334,Value,4,1000000000.0,Broker,4,1000000000.0,1000000000.0,Trades - Net Profit/Loss,4,,,DrawDown,4,0.0,0.0,BuySell,4,,
5,VN30F1M,5,2020-01-02 04:00:00,878.3,880.5,878.2,880.0,9260.0,,CompareOHLCV,5,,737426.1666666666,Value,5,1000000000.0,Broker,5,1000000000.0,1000000000.0,Trades - Net Profit/Loss,5,,,DrawDown,5,0.0,0.0,BuySell,5,,
6,VN30F1M,6,2020-01-02 04:30:00,880.2,880.2,880.1,880.1,25.0,,CompareOHLCV,6,,737426.1875,Value,6,1000000000.0,Broker,6,1000000000.0,1000000000.0,Trades - Net Profit/Loss,6,,,DrawDown,6,0.0,0.0,BuySell,6,,
7,VN30F1M,7,2020-01-02 06:00:00,880.3,884.6,880.3,884.0,16647.0,,CompareOHLCV,7,,737426.25,Value,7,1000000000.0,Broker,7,1000000000.0,1000000000.0,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0,BuySell,7,,
8,VN30F1M,8,2020-01-02 06:30:00,883.8,884.9,883.3,884.0,7688.0,,CompareOHLCV,8,,737426.2708333334,Value,8,1000000000.0,Broker,8,1000000000.0,1000000000.0,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0,BuySell,8,,
9,VN30F1M,9,2020-01-02 07:00:00,884.1,886.3,884.0,886.3,11684.0,,CompareOHLCV,9,,737426.2916666666,Value,9,1000000000.0,Broker,9,1000000000.0,1000000000.0,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0,BuySell,9,,
10,VN30F1M,10,2020-01-02 07:30:00,886.3,886.3,886.3,886.3,2641.0,,CompareOHLCV,10,,737426.3125,Value,10,1000000000.0,Broker,10,1000000000.0,1000000000.0,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0,BuySell,10,,
11,VN30F1M,11,2020-01-03 02:00:00,887.0,887.7,886.6,886.6,6454.0,,CompareOHLCV,11,,737427.0833333334,Value,11,1000000000.0,Broker,11,1000000000.0,1000000000.0,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0,BuySell,11,,
12,VN30F1M,12,2020-01-03 02:30:00,886.6,886.7,886.0,886.4,5165.0,,CompareOHLCV,12,,737427.1041666666,Value,12,1000000000.0,Broker,12,1000000000.0,1000000000.0,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0,BuySell,12,,
13,VN30F1M,13,2020-01-03 03:00:00,886.4,886.6,885.8,886.3,4082.0,,CompareOHLCV,13,,737427.125,Value,13,1000000000.0,Broker,13,1000000000.0,1000000000.0,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0,BuySell,13,,
14,VN30F1M,14,2020-01-03 03:30:00,886.3,886.3,883.6,884.3,8716.0,,CompareOHLCV,14,,737427.1458333334,Value,14,1000000000.0,Broker,14,1000000000.0,1000000000.0,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0,BuySell,14,,
15,VN30F1M,15,2020-01-03 04:00:00,884.3,884.9,884.1,884.8,4499.0,,CompareOHLCV,15,,737427.1666666666,Value,15,995905000.0,Broker,15,995904930.0,995905000.0,Trades - Net Profit/Loss,15,,,DrawDown,15,0.4095,0.4095,BuySell,15,,884.3
16,VN30F1M,16,2020-01-03 04:30:00,884.8,884.8,884.8,884.8,6.0,,CompareOHLCV,16,,737427.1875,Value,16,995905000.0,Broker,16,995904930.0,995905000.0,Trades - Net Profit/Loss,16,,,DrawDown,16,0.4095,0.4095,BuySell,16,,
17,VN30F1M,17,2020-01-03 06:00:00,884.3,884.4,881.6,883.4,14222.0,,CompareOHLCV,17,,737427.25,Value,17,1005704999.9999999,Broker,17,1005704929.9999999,1005704999.9999999,Trades - Net Profit/Loss,17,,,DrawDown,17,0.0,0.4095,BuySell,17,,
18,VN30F1M,18,2020-01-03 06:30:00,883.5,883.8,882.0,883.2,7737.0,,CompareOHLCV,18,,737427.2708333334,Value,18,1007104999.9999994,Broker,18,1007104929.9999994,1007104999.9999994,Trades - Net Profit/Loss,18,,,DrawDown,18,0.0,0.4095,BuySell,18,,
19,VN30F1M,19,2020-01-03 07:00:00,883.4,884.2,880.4,880.6,14977.0,,CompareOHLCV,19,,737427.2916666666,Value,19,1025304999.9999995,Broker,19,1025304929.9999995,1025304999.9999995,Trades - Net Profit/Loss,19,,,DrawDown,19,0.0,0.4095,BuySell,19,,
20,VN30F1M,20,2020-01-03 07:30:00,880.5,880.6,879.5,879.5,3928.0,,CompareOHLCV,20,,737427.3125,Value,20,1033004999.9999996,Broker,20,1033004929.9999996,1033004999.9999996,Trades - Net Profit/Loss,20,,,DrawDown,20,0.0,0.4095,BuySell,20,,
