Id,VN30F1M,len,datetime,open,high,low,close,volume,openinterest,AlphaTest,len,datetime,datetime,Value,len,value,Broker,len,cash,value,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
1,VN30F1M,1,2020-01-02 02:00:00,877.6,877.7,876.6,876.8,2692.0,,AlphaTest,1,,737426.0833333334,Value,1,1000000000.0,Broker,1,1000000000.0,1000000000.0,Trades - Net Profit/Loss,1,,,DrawDown,1,0.0,0.0,BuySell,1,,
2,VN30F1M,2,2020-01-02 02:20:00,876.9,878.8,876.7,878.6,5096.0,,AlphaTest,2,,737426.0972222222,Value,2,1000000000.0,Broker,2,1000000000.0,1000000000.0,Trades - Net Profit/Loss,2,,,DrawDown,2,0.0,0.0,BuySell,2,,
3,VN30F1M,3,2020-01-02 02:40:00,878.7,879.5,878.5,878.6,5199.0,,AlphaTest,3,,737426.1111111111,Value,3,1000000000.0,Broker,3,1000000000.0,1000000000.0,Trades - Net Profit/Loss,3,,,DrawDown,3,0.0,0.0,BuySell,3,,
4,VN30F1M,4,2020-01-02 03:00:00,878.7,879.0,877.9,878.0,4146.0,,AlphaTest,4,,737426.125,Value,4,1000000000.0,Broker,4,1000000000.0,1000000000.0,Trades - Net Profit/Loss,4,,,DrawDown,4,0.0,0.0,BuySell,4,,
5,VN30F1M,5,2020-01-02 03:20:00,878.0,878.9,878.0,878.1,2153.0,,AlphaTest,5,,737426.1388888889,Value,5,1000000000.0,Broker,5,1000000000.0,1000000000.0,Trades - Net Profit/Loss,5,,,DrawDown,5,0.0,0.0,BuySell,5,,
6,VN30F1M,6,2020-01-02 03:40:00,878.1,878.5,877.6,878.3,2929.0,,AlphaTest,6,,737426.1527777778,Value,6,1000000000.0,Broker,6,1000000000.0,1000000000.0,Trades - Net Profit/Loss,6,,,DrawDown,6,0.0,0.0,BuySell,6,,
7,VN30F1M,7,2020-01-02 04:00:00,878.3,880.5,878.2,879.8,7419.0,,AlphaTest,7,,737426.1666666666,Value,7,1000000000.0,Broker,7,1000000000.0,1000000000.0,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0,BuySell,7,,
8,VN30F1M,8,2020-01-02 04:20:00,879.8,880.3,879.7,880.1,1866.0,,AlphaTest,8,,737426.1805555555,Value,8,1000000000.0,Broker,8,1000000000.0,1000000000.0,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0,BuySell,8,,
9,VN30F1M,9,2020-01-02 06:00:00,880.3,884.4,880.3,884.0,12364.0,,AlphaTest,9,,737426.25,Value,9,1000000000.0,Broker,9,1000000000.0,1000000000.0,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0,BuySell,9,,
10,VN30F1M,10,2020-01-02 06:20:00,884.0,884.6,883.3,884.0,6473.0,,AlphaTest,10,,737426.2638888889,Value,10,1000000000.0,Broker,10,1000000000.0,1000000000.0,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0,BuySell,10,,
11,VN30F1M,11,2020-01-02 06:40:00,884.0,884.9,883.3,884.0,5498.0,,AlphaTest,11,,737426.2777777778,Value,11,1000000000.0,Broker,11,1000000000.0,1000000000.0,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0,BuySell,11,,
12,VN30F1M,12,2020-01-02 07:00:00,884.1,885.8,884.0,884.5,6217.0,,AlphaTest,12,,737426.2916666666,Value,12,1000000000.0,Broker,12,1000000000.0,1000000000.0,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0,BuySell,12,,
13,VN30F1M,13,2020-01-02 07:20:00,884.5,886.3,884.5,886.3,5509.0,,AlphaTest,13,,737426.3055555555,Value,13,1000000000.0,Broker,13,1000000000.0,1000000000.0,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0,BuySell,13,,
14,VN30F1M,14,2020-01-02 07:40:00,886.3,886.3,886.3,886.3,2599.0,,AlphaTest,14,,737426.3194444445,Value,14,1000000000.0,Broker,14,1000000000.0,1000000000.0,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0,BuySell,14,,
15,VN30F1M,15,2020-01-03 02:00:00,887.0,887.7,886.8,887.4,3432.0,,AlphaTest,15,,737427.0833333334,Value,15,1000000000.0,Broker,15,1000000000.0,1000000000.0,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0,BuySell,15,,
16,VN30F1M,16,2020-01-03 02:20:00,887.5,887.6,886.2,886.4,4717.0,,AlphaTest,16,,737427.0972222222,Value,16,1000000000.0,Broker,16,1000000000.0,1000000000.0,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0,BuySell,16,,
17,VN30F1M,17,2020-01-03 02:40:00,886.4,886.7,886.0,886.4,3470.0,,AlphaTest,17,,737427.1111111111,Value,17,1000000000.0,Broker,17,1000000000.0,1000000000.0,Trades - Net Profit/Loss,17,,,DrawDown,17,0.0,0.0,BuySell,17,,
18,VN30F1M,18,2020-01-03 03:00:00,886.4,886.6,885.8,886.3,3070.0,,AlphaTest,18,,737427.125,Value,18,1000000000.0,Broker,18,1000000000.0,1000000000.0,Trades - Net Profit/Loss,18,,,DrawDown,18,0.0,0.0,BuySell,18,,
19,VN30F1M,19,2020-01-03 03:20:00,886.2,886.5,885.3,885.3,2978.0,,AlphaTest,19,,737427.1388888889,Value,19,1000000000.0,Broker,19,1000000000.0,1000000000.0,Trades - Net Profit/Loss,19,,,DrawDown,19,0.0,0.0,BuySell,19,,
20,VN30F1M,20,2020-01-03 03:40:00,885.0,885.1,883.6,884.3,6750.0,,AlphaTest,20,,737427.1527777778,Value,20,1000000000.0,Broker,20,1000000000.0,1000000000.0,Trades - Net Profit/Loss,20,,,DrawDown,20,0.0,0.0,BuySell,20,,
